Name,Category,Address,Google Business URL,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Jersey City Free Public Library,Attractions,"472 Jersey Ave, Jersey City, NJ 07302",https://goo.gl/maps/ganfP8gkYhd9AKcx7,40.718913,-74.047331,1,rooftop,472,Jersey Ave,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Van Vorst Park,Attractions,"257-287 Montgomery St, Jersey City, NJ 07302",https://goo.gl/maps/4j6puHQCFu9ZabDs5,40.718062,-74.047143,1,rooftop,257,Montgomery St,,,Jersey City,NJ,Hudson County,7302,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Morris Canal Park,Attractions,"158 Washington St, Jersey City, NJ 07302",https://goo.gl/maps/WHMY4hLw5djCNcKR8,40.712479,-74.038177,1,range_interpolation,158,Washington St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
J. Owen Grundy Park,Attractions,"Hudson St, Jersey City, NJ 07302",https://goo.gl/maps/rACUhtNZs3N1kvA78,40.712803,-74.034904,1,street_center,,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Newport Yacht Club and Marina,Attractions,"140 Dudley St, Jersey City, NJ 07302",https://goo.gl/maps/iSwjbdSBRRahAFGw6,40.712878,-74.040139,1,range_interpolation,140,Dudley St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Newport Green Park,Attractions,"Green Park, 14th St, Jersey City, NJ 07310",https://goo.gl/maps/KHoZUcGg711XsXY18,40.732728,-74.037168,1,place,,,,,Jersey City,NJ,Hudson County,7310,US,TIGER/Line® dataset from the US Census Bureau
Hamilton Park,Attractions,"25 W Hamilton Pl, Jersey City, NJ 07302, United States",https://goo.gl/maps/hMAsRSeqZUQdUXjj9,40.727886,-74.046081,1,range_interpolation,25,W Hamilton Pl,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Liberty State Park,Attractions,"200 Morris Pesin Dr, Jersey City, NJ 07305, United States",https://goo.gl/maps/xgAFJ4qabHrCKnNH6,40.694499,-74.059901,1,range_interpolation,200,Morris Pesin Dr,,,Jersey City,NJ,Hudson County,7305,US,TIGER/Line® dataset from the US Census Bureau
Empty Sky Memorial,Attractions,"1 Audrey Zapp Dr, Jersey City, NJ 07305, United States",https://goo.gl/maps/zBusKZfHvCgSb1n19,40.710075,-74.052059,1,range_interpolation,1,Audrey Zapp Dr,,,Jersey City,NJ,Hudson County,7305,US,TIGER/Line® dataset from the US Census Bureau
Statue Cruises,Attractions,"Pine St, Jersey City, NJ 07304, United States",https://goo.gl/maps/pME7xz3k8dyhpz8P6,40.710925,-74.060975,1,street_center,,Pine St,,,Jersey City,NJ,Hudson County,7304,US,TIGER/Line® dataset from the US Census Bureau
Liberty Science Center,Attractions,"222 Jersey City Blvd, Jersey City, NJ 07305, United States",https://goo.gl/maps/CKC8Q84ZSqRmb3id9,40.709509,-74.055972,1,rooftop,222,Jersey City Blvd,,,Jersey City,NJ,Hudson County,7305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Liberty National Golf Course,Attractions,"100 Caven Point Rd, Jersey City, NJ 07305, United States",https://goo.gl/maps/BS3nJfN1Q2K8WXea7,40.69929,-74.070498,0.85,nearest_rooftop_match,74,Caven Point Rd,,,Jersey City,NJ,Hudson County,7305,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Jersey City 9-11 Memorial,Attractions,"Hudson River Waterfront Walkway, Jersey City, NJ 07302, United States",https://goo.gl/maps/twSuiY1AVAavY2ne9,40.712803,-74.034904,1,street_center,,Hudson St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
Manhattan Yacht Club,Attractions,"140 Dudley St, Jersey City, NJ 07302, United States",https://goo.gl/maps/tRo9sHyuS8WyrZdP9,40.712878,-74.040139,1,range_interpolation,140,Dudley St,,,Jersey City,NJ,Hudson County,7302,US,TIGER/Line® dataset from the US Census Bureau
New York Sports Clubs,Fitness,"147 Harborside Financial Center Platform 147 Plaza Two, Jersey City, NJ 07311, United States",https://goo.gl/maps/CTHBH9dGofWur2R18,40.720216,-74.032724,0.33,place,,,,,Jersey City,NJ,Hudson County,7311,US,TIGER/Line® dataset from the US Census Bureau
